matter_env_seq,ca1_time,ca2_endpoint,ca3_species,ca4_value1,ca5_value2,ca6_value3,ca7_value4,ca8_value5,ca9_unit,ca10_tg,ca11_glp,ca12_ref,ca13_other,cb1_time,cb2_endpoint,cb3_species,cb4_value1,cb5_value2,cb6_value3,cb7_value4,cb8_value5,cb9_unit,cb10_tg,cb11_glp,cb12_ref,cb13_other,cc1_time,cc2_endpoint,cc3_species,cc4_value1,cc5_value2,cc6_value3,cc7_value4,cc8_value5,cc9_unit,cc10_tg,cc11_glp,cc12_ref,cc13_other,cd1_time,cd2_endpoint,cd3_species,cd4_value1,cd5_value2,cd6_value3,cd7_value4,cd8_value5,ca9_unit,cd10_tg,cd11_glp,cd12_ref,cd13_other,ce1_time,ce2_endpoint,ce3_species,ce4_value1,ce5_value2,ce6_value3,ce7_value4,ce8_value5,ce9_unit,ce10_tg,ce11_glp,ce12_ref,ce13_other,cf1_time,cf2_endpoint,cf3_species,cf4_value1,cf5_value2,cf6_value3,cf7_value4,cf8_value5,cf9_unit,cf10_tg,cf11_glp,cf12_ref,cf13_other,cg1_time,cg2_endpoint,cg3_species,cg4_value1,cg5_value2,cg6_value3,cg7_value4,cg8_value5,cg9_unit,cg10_tg,cg11_glp,cg12_ref,cg13_other,ch1_time,ch2_endpoint,ch3_species,ch4_value1,ch5_value2,ch6_value3,ch7_value4,ch8_value5,ch9_unit,"ch10_tg""",ch11_glp,ch12_ref,ch13_other,ch1_persistence,cj1_data,cj2_time,cj3_degrade,cj4_ref,cj5_other,ck1_value1,ck2_value2,ck3_value3,ck4_value4,ck5_value5,ck6_ref,ck6_other,cl1_value1,cl2_value2,cl3_value3,cl4_value4,cl5_value5,cl6_ref,cl6_other,cm1_data,cm2_ref,cm3_other,division_C1,division_C2,division_C3,matter_data_key
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 day,생분해가 되지 않아 생체 내 축적될 잠재성이 높음,National Institute of Technology and Evaluation(http://www.safe.nite.go.jp/data/hazkizon/pk_e_kizon_input_second.home_object),,,,0.82,,27,National Institute of Technology and Evaluation(http://www.safe.nite.go.jp/data/hazkizon/pk_e_kizon_input_second.home_object),,44370,,,,,EPI Suite,토양에 흡착될 수 있음,,,,구분1,구분1,구분1,10319-14-9#1
2,96 hr,LC50,,0.532,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,96 hr,EC50,,0.0000781,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5117,,난분해성,EPI Suite,(BIOWIN5),10,,,,,EPI Suite,,3245,,,,,EPI Suite,토양에 흡착될 수 있음,,,,구분1,구분3, ,12236-62-3#1
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28 day,생분해가 되지 않아 생체 내 축적될 잠재성이 높음,National Institute of Technology and Evaluation(http://www.safe.nite.go.jp/data/hazkizon/pk_e_kizon_input_second.home_object),,,,24,,49,National Institute of Technology and Evaluation(http://www.safe.nite.go.jp/data/hazkizon/pk_e_kizon_input_second.home_object),,,,,,,,,,,,구분1,구분4,해당없음,11099-03-9#1
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,해당없음,해당없음,해당없음,10290-12-7#1
5,96 hr,LC50,Oncorhynchus mykiss,,100,,,,%,,,ECHA,OECD TG 203 GLP,48 hr,EC50,Daphnia magna,,100,,,,㎎/ℓ,"(OECD TG 202 , 지수식, 담수, GLP)",,ECHA,,72 hr,,Pseudokirchneriella subcapitata,12.5,,,,,㎎/ℓ,"OECD TG 201 , 지수식, 담수, GLP",,ECHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,해당없음,구분2,해당없음,68309-95-5#1
6,96 hr,LC50,Rainbow trout; Oncorhynchus mykiss,,0.18,,,,㎎/ℓ,,,The ECOTOXicology database(http://cfpub.epa.gov/ECOTOX/quick_query.htm),,48 hr,LC50,Daphnia magna,0.35,,,,,㎎/ℓ,,,The ECOTOXicology database(http://cfpub.epa.gov/ECOTOX/quick_query.htm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>60,300 day,생분해가 잘되므로 생체 내 축적될 잠재성이 낮음.,Hazardous Substances Data Bank(http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB),,560,,,,,Hazardous Substances Data Bank(http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB),생물 농축 가능성 있음,4098,,,,,EPI Suite,토양에 흡착될 수 있음,,,,자료없음,자료없음,자료없음,42576-02-3#1
7,96 hr,LC50,Lepomis macrochirus,0.9,,,,,㎎/ℓ,,,The ECOTOXicology database(http://cfpub.epa.gov/ECOTOX/quick_query.htm),,48 hr,EC50,Daphnia magna,6.800,,,,,㎎/ℓ,,,The ECOTOXicology database(http://cfpub.epa.gov/ECOTOX/quick_query.htm),,96 hr,EC50,,6.424,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1028,,난분해성,EPI Suite,(BIOWIN5),110.2,,,,,EPI Suite,,800.5,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,자료없음,해당없음,60168-88-9#1
8,96 hr,LC50,기타(salmo trutta),0.02,,,,,㎎/ℓ,,,HSDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8~6.3,21-70 day,pH=6-7.5,ECHA,,925,,,,,"SRC, HSDB",BCF suggests the potential for bioconcentration in aquatic organisms is high,,,300,,64925,,,,,,자료없음,자료없음,구분1,23505-41-1#1
9,96 hr,LC50,Fundulus heteroclitus,0.3,,,,,㎎/ℓ,,,"ECOTOX, 국립환경과학원고시 제2020-8호",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자료없음,자료없음,자료없음,7783-36-0#1
10,96 hr,LC50,,65.834,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,48 hr,LC50,,31.359,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),ECOSAR Class :Amides,96 hr,EC50,,0.634,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0494,,난분해성,EPI Suite,(BIOWIN6),9.406,,,,,EPI Suite,,88.08,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,자료없음,자료없음,55861-78-4#1
